name,name2,streetNumber,street,zip,city,region,country,lat,lng
Selarl Dr Bergendahl Daniela,Maison Medicale Divonnes les Bains,255,Avenue des Thermes,01220,Divonnes les Bains,Ain,France,46.359445,6.137268
Dr Boris Mirzoyan,Maison Medicale,110,Rue Germaine Tillion,01630,Saint Genis Pouilly,Ain,France,46.240790,6.033690
Dr Marie Bertrand,,5,Route de Liesse,02820,Saint Erme Outre et Ramecourt,Aisne,France,49.529484,3.856513
Dr Borovi Juli,L'Atelier Medical,7,Boulevard des Tilleuls,04100,Manosque,Alpes (Hte-Provence),France,43.835572,5.782070
Clinique des Champs Elysées,Dr Sam Vidal,27,Rue Rossini,06000,Nice,Alpes-Maritimes,France,43.700237,7.262427
Dr Assouline Uriel,,31,Rue Meyerbeer,06000,Nice,Alpes-Maritimes,France,43.697858,7.260197
Dr Clave Micheline,,24,Avenue de Flirey,06000,Nice,Alpes-Maritimes,France,43.724242,7.275633
Dr Fouque-Parachini Linda,,134,Avenue des Arenes de Cimiez,06000,Nice,Alpes-Maritimes,France,43.716305,7.274656
Dr Miniconi Nigoghossian Marie J.,,1,Rue de Liberte,06000,Nice,Alpes-Maritimes,France,43.698556,7.268688
Dr Palmaro Jean Claude,Cde Acces : 2011 - Rdc,6,Rue Clement Roassal,06000,Nice,Alpes-Maritimes,France,43.708562,7.261726
Dr Volpei Charles,Villa Bella Vista,88,Boulevard de Cimiez,06000,Nice,Alpes-Maritimes,France,43.717295,7.272309
Dr Ugolini Sandra,Sel,121,Boulevard Emmanuel Rouquier,06130,Grasse,Alpes-Maritimes,France,43.634684,6.939700
Dr Lecornu Ludovic,Cabinet Medical,23,Rue des Etats-Unis,06150,Cannes,Alpes-Maritimes,France,43.555468,7.004585
Dr Faltot Dominique Marie,Cabinet Medical 06.23.10.16.79,369,Avenue de Cannes,06210,Mandelieu-la-Napoule,Alpes-Maritimes,France,43.543167,6.936941
Dr Coissard Veronique,,7,Rue Paul Doumer,06310,Beaulieu-sur-Mer,Alpes-Maritimes,France,43.705970,7.333604
Dr Pusel Bertrand,Villa Bianca Dermatologie,832,Boulevard Pierre Sauvaigo,06480,La Colle sur Loup,Alpes-Maritimes,France,43.680332,7.118967
Dr Vera Milene,,5,Place de la Vignasse,06560,Valbonne,Alpes-Maritimes,France,43.641892,7.006394
Dr Weerts Jolanda,Vallis Bona D4,55,Place de Grasse,06560,Valbonne,Alpes-Maritimes,France,43.641353,7.006864
Dr  Simon Lamquin,,5,Av Marechal de Lattre de Tassigny,06800,Cagnes sur Mer,Alpes-Maritimes,France,43.658278,7.163023
Dr Levy Antoine,Cabinet Medical,4,Place de la Liberation,07000,Privas,Ardeche,France,44.734635,4.596719
Dr Martin-Bourret Veronique,Leclos Republique,857,Avenue de la Republique,07500,Guilherand-Granges,Ardeche,France,44.936195,4.872153
Dr Adnot Desanlis Lucie,,16,Rue Jean Baptiste Lefort,08000,Charleville Mezieres,Ardennes,France,49.739217,4.730012
Dr Anne Laure Goeldel,,16,Rue Jean Baptiste Lefort,08000,Charleville Mezieres,Ardennes,France,49.739217,4.730012
Dr Charneux Julie,,10,Rue Jean Baptiste Lefort,08000,Charleville Mezieres,Ardennes,France,49.740929,4.729592
Dr Renard Frederic,,16,Rue Jean Baptiste Lefort,08000,Charleville-Mezieres,Ardennes,France,49.739217,4.730012
Dr Benjamin Ngo,Au Cabinet Dr Hamati,39,Boulevard du 14 Juillet,10000,Troyes,Aube,France,48.293598,4.077321
Dr Bica Delia,Clin. de Champagne-Sce Dermato,4,Rue Chaim Soutine,10000,Troyes,Aube,France,48.306169,4.052866
Dr Ferdi Nathan,,17,Rue Raymond Poincare,10000,Troyes,Aube,France,48.296229,4.076485
Dr Hubner Gabriel,Clinique de Champagne,4,Rue Chaim Soutine,10000,Troyes,Aube,France,48.306169,4.052866
Dr  Severine Perez,Centre Hospitalier de Troyes,101,Avenue Anatole France,10003,Troyes,Aube,France,48.279897,4.068811
Sas Prométhée Santé,Dr Dr Alexandre  Cavailles,5,Rue de Vigne,11570,Cazilhac,Aude,France,43.183136,2.353497
Dr Marty Thibault,,25,Rue Mailhe,12200,Villefranche-de-Rouergue,Aveyron,France,44.352589,2.031945
Centre Massilien de la Face - Romeu,Istria Brachet  Gage Thiery,24,Avenue du Prado,13006,Marseille,Bouches-du-Rhone,France,43.284196,5.384312
Dr Amouyal Norbert,,24,Avenue du Prado,13006,Marseille,Bouches-du-Rhone,France,43.284196,5.384312
Dr Abs Richard,,1,Boulevard Lord Duveen,13008,Marseille,Bouches-du-Rhone,France,43.276218,5.388683
Dr Ayraud-Ollier Stephanie,,2,Boulevard Michelet,13008,Marseille,Bouches-du-Rhone,France,43.271859,5.391380
Dr Bellot Samson Vanessa,,490,Rue Paradis,13008,Marseille,Bouches-du-Rhone,France,43.273319,5.385186
Dr Korchia Daniel,,429,Rue Paradis,13008,Marseille,Bouches-du-Rhone,France,43.273983,5.385140
